site_id,facility_city,facility_lon,facility_lat,province,region,avg_direct_distance_km,capacity_min_ton,capacity_max_ton,fixed_cost_yuan,capacity_cost_yuan_per_ton,processing_cost_yuan_per_t,processing_emission_tco2_per_t,data_version
858,上海市,121.3035,31,上海市,east,1381.1369272237196,5153155.796741855,64586871.5020876,642132524.997503,17.164560224535663,82.6056,0.04,net_v1.0.0-20260703
1076,昭通市,104.0846,28,云南省,west,1342.3233692722372,4270310.181606632,50031208.52747548,594140620.239177,12.801615831024954,71.4353,0.04,net_v1.0.0-20260703
1074,昭通市,103.9046,28,云南省,west,1350.8426954177899,3754319.919992282,45879792.10168121,493995074.37615144,10.241667366943613,71.4353,0.04,net_v1.0.0-20260703
1075,昭通市,103.8803,28,云南省,west,1352.0074393530997,3833725.92290894,54421466.91701689,552646755.0805695,12.661700983901435,71.4353,0.04,net_v1.0.0-20260703
1062,曲靖市,104.0405,26,云南省,west,1428.5183288409705,4111698.028089293,52291608.13497003,567856354.2789104,11.808317895615799,71.4353,0.04,net_v1.0.0-20260703
686,鄂尔多斯市,108.6885,39,内蒙古自治区,west,1303.337061994609,3807226.187103292,48212565.46267334,523092571.2075967,12.9267004332809,71.4353,0.04,net_v1.0.0-20260703
684,鄂尔多斯市,108.5308,39,内蒙古自治区,west,1306.273989218329,3828113.14644035,47638464.89828673,521010503.7097762,11.51161926291132,71.4353,0.04,net_v1.0.0-20260703
698,乌海市,106.9548,39,内蒙古自治区,west,1341.591051212938,3890568.865385894,45016796.96998376,567602229.2836124,10.636544617811674,71.4353,0.04,net_v1.0.0-20260703
685,鄂尔多斯市,108.7714,40,内蒙古自治区,west,1360.497358490566,3639712.954046264,51839216.7496143,489208925.4086408,11.432219829273238,71.4353,0.04,net_v1.0.0-20260703
52,北京市,116.2727,40,北京市,east,1368.884204851752,4855965.242985228,63845245.918042436,727048290.6633738,14.58418781021908,82.6056,0.04,net_v1.0.0-20260703
926,台湾省,120.8389,24,台湾省,east,1658.807654986523,5466524.638869939,71853310.03960222,741808231.9846983,16.187981280891574,82.6056,0.04,net_v1.0.0-20260703
544,四平市,124.551,43,吉林省,east,1853.9952291105121,5766392.461778657,67094692.99063031,685469489.4911101,16.44434316589208,82.6056,0.04,net_v1.0.0-20260703
550,通化市,125.9589,42,吉林省,east,1877.2868733153641,5751142.352349683,71900891.07015133,817558077.0327175,15.713101582430745,82.6056,0.04,net_v1.0.0-20260703
551,通化市,126.0621,42,吉林省,east,1883.298382749326,5082396.514236259,70970814.52015619,765237408.4658917,14.184402642405674,82.6056,0.04,net_v1.0.0-20260703
549,通化市,126.0657,42,吉林省,east,1883.507061994609,5155608.541102846,70985318.61821918,801132383.4232187,14.241172136457681,82.6056,0.04,net_v1.0.0-20260703
872,达州市,107.7763,31,四川省,west,1136.7056603773585,3936146.6498178076,49743903.287767775,567396498.0701877,10.475724158061455,71.4353,0.04,net_v1.0.0-20260703
871,达州市,107.6483,31,四川省,west,1140.1667654986522,4297469.075967658,45799453.829428814,589431189.6109818,11.461017331379008,71.4353,0.04,net_v1.0.0-20260703
870,达州市,107.5737,31,四川省,west,1142.2284366576819,3795178.088388996,53391748.81818919,489626867.73744035,11.283048433555017,71.4353,0.04,net_v1.0.0-20260703
866,巴中市,107.0932,32,四川省,west,1149.715795148248,4108557.0260880603,48456143.24536729,546466074.5322844,10.380555328490246,71.4353,0.04,net_v1.0.0-20260703
928,天津市,117.2016,39,天津市,east,1334.580485175202,5000056.900947222,67757427.48042934,808325841.3533254,15.356030708221326,82.6056,0.04,net_v1.0.0-20260703
710,固原市,106.2695,36,宁夏回族自治区,west,1233.6793800539083,3691845.206859667,50108011.3664303,495967017.1631126,11.9958666777501,71.4353,0.04,net_v1.0.0-20260703
708,固原市,106.1247,36,宁夏回族自治区,west,1238.444447439353,3633115.62945974,51411736.90456055,469415858.986244,11.76981213087876,71.4353,0.04,net_v1.0.0-20260703
709,固原市,106.0237,36,宁夏回族自治区,west,1241.8413746630729,4389524.198378719,51524152.64488536,525328328.87739253,11.292568277489018,71.4353,0.04,net_v1.0.0-20260703
715,吴忠市,106.5758,37,宁夏回族自治区,west,1259.1902964959568,4441007.477907028,46255850.31730802,483174414.2028354,10.79544359752749,71.4353,0.04,net_v1.0.0-20260703
15,阜阳市,115.6587,33,安徽省,central,1110.1511051212938,4967674.269274174,60546104.37575296,554820458.2934519,14.442628223007278,76.3018,0.04,net_v1.0.0-20260703
16,阜阳市,115.825,33,安徽省,central,1114.366091644205,4509932.493570439,56624889.382821865,602442367.266306,14.354532803198438,76.3018,0.04,net_v1.0.0-20260703
17,阜阳市,115.8406,33,安徽省,central,1114.7744204851751,4661507.805305109,55562203.42872842,573897555.6987723,12.55796691255224,76.3018,0.04,net_v1.0.0-20260703
31,六安市,116.1089,32,安徽省,central,1122.7675202156333,5155901.512150286,59400316.76412448,656738598.1773437,13.047559320551871,76.3018,0.04,net_v1.0.0-20260703
756,菏泽市,115.5966,35,山东省,east,1136.0235849056603,5055083.290042435,73716172.01037744,676157954.4012206,14.025855092812833,82.6056,0.04,net_v1.0.0-20260703
757,菏泽市,115.7551,35,山东省,east,1139.7972237196766,5863614.36053233,72374973.46123996,650893409.3560966,14.74137784141144,82.6056,0.04,net_v1.0.0-20260703
758,菏泽市,115.84,35,山东省,east,1141.900781671159,5822800.644226937,68966092.130715,788455238.311633,15.374724538777297,82.6056,0.04,net_v1.0.0-20260703
374,聊城市,115.3445,36,山东省,east,1158.3840700808626,5293793.462897852,74254584.25498198,755751035.0916978,14.211266490846903,82.6056,0.04,net_v1.0.0-20260703
352,晋城市,112.4356,35,山西省,central,1099.3187061994608,4617535.976506466,59091133.535468884,596892550.6201624,13.164611198360241,76.3018,0.04,net_v1.0.0-20260703
824,运城市,111.1734,35,山西省,central,1104.0763881401617,4895128.092257703,59950915.51825,678224215.9575254,13.940972833823082,76.3018,0.04,net_v1.0.0-20260703
822,运城市,111.0043,35,山西省,central,1105.4300808625337,4159533.8044469077,60303446.25445433,688347625.3315799,12.619921813784288,76.3018,0.04,net_v1.0.0-20260703
823,运城市,110.9584,35,山西省,central,1105.82846361186,4625853.377751557,52975435.879580855,679099273.3594385,15.018310316429256,76.3018,0.04,net_v1.0.0-20260703
163,韶关市,113.6412,25,广东省,east,1310.90371967655,5177824.522473799,72290818.75094014,734755954.5542641,16.678394477164627,82.6056,0.04,net_v1.0.0-20260703
164,韶关市,113.7862,25,广东省,east,1313.2134770889488,6069508.626574085,71079902.18465737,729961388.7814623,16.878874601062645,82.6056,0.04,net_v1.0.0-20260703
